,Product code,Bureau of Meteorology station number,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality,Date
3287,IDCJAC0009,86338,0.0,1.0,N,2022-01-01
3288,IDCJAC0009,86338,0.0,1.0,N,2022-01-02
3289,IDCJAC0009,86338,0.0,1.0,N,2022-01-03
3290,IDCJAC0009,86338,0.0,1.0,N,2022-01-04
3291,IDCJAC0009,86338,0.0,1.0,N,2022-01-05
3292,IDCJAC0009,86338,0.0,1.0,N,2022-01-06
3293,IDCJAC0009,86338,1.4,1.0,N,2022-01-07
3294,IDCJAC0009,86338,24.8,1.0,N,2022-01-08
3295,IDCJAC0009,86338,0.0,1.0,N,2022-01-09
3296,IDCJAC0009,86338,0.2,1.0,N,2022-01-10
3297,IDCJAC0009,86338,0.0,1.0,N,2022-01-11
3298,IDCJAC0009,86338,0.0,1.0,N,2022-01-12
3299,IDCJAC0009,86338,0.0,1.0,N,2022-01-13
3300,IDCJAC0009,86338,0.0,1.0,N,2022-01-14
3301,IDCJAC0009,86338,6.0,1.0,N,2022-01-15
3302,IDCJAC0009,86338,0.0,1.0,N,2022-01-16
3303,IDCJAC0009,86338,0.0,1.0,N,2022-01-17
3304,IDCJAC0009,86338,0.0,1.0,N,2022-01-18
3305,IDCJAC0009,86338,0.0,1.0,N,2022-01-19
3306,IDCJAC0009,86338,0.0,1.0,N,2022-01-20
3307,IDCJAC0009,86338,0.0,1.0,N,2022-01-21
3308,IDCJAC0009,86338,0.0,1.0,N,2022-01-22
3309,IDCJAC0009,86338,0.0,1.0,N,2022-01-23
3310,IDCJAC0009,86338,0.0,1.0,N,2022-01-24
3311,IDCJAC0009,86338,0.0,1.0,N,2022-01-25
3312,IDCJAC0009,86338,0.0,1.0,N,2022-01-26
3313,IDCJAC0009,86338,7.0,1.0,N,2022-01-27
3314,IDCJAC0009,86338,1.6,1.0,N,2022-01-28
3315,IDCJAC0009,86338,38.6,1.0,N,2022-01-29
3316,IDCJAC0009,86338,0.0,1.0,N,2022-01-30
3317,IDCJAC0009,86338,0.0,1.0,N,2022-01-31
3318,IDCJAC0009,86338,0.0,1.0,N,2022-02-01
3319,IDCJAC0009,86338,3.2,1.0,N,2022-02-02
3320,IDCJAC0009,86338,1.2,1.0,N,2022-02-03
3321,IDCJAC0009,86338,0.2,1.0,N,2022-02-04
3322,IDCJAC0009,86338,0.0,1.0,N,2022-02-05
3323,IDCJAC0009,86338,0.0,1.0,N,2022-02-06
3324,IDCJAC0009,86338,0.0,1.0,N,2022-02-07
3325,IDCJAC0009,86338,0.0,1.0,N,2022-02-08
3326,IDCJAC0009,86338,0.0,1.0,N,2022-02-09
3327,IDCJAC0009,86338,0.0,1.0,N,2022-02-10
3328,IDCJAC0009,86338,0.0,1.0,N,2022-02-11
3329,IDCJAC0009,86338,0.0,1.0,N,2022-02-12
3330,IDCJAC0009,86338,0.0,1.0,N,2022-02-13
3331,IDCJAC0009,86338,0.0,1.0,N,2022-02-14
3332,IDCJAC0009,86338,0.0,1.0,N,2022-02-15
3333,IDCJAC0009,86338,0.0,1.0,N,2022-02-16
3334,IDCJAC0009,86338,0.0,1.0,N,2022-02-17
3335,IDCJAC0009,86338,0.0,1.0,N,2022-02-18
3336,IDCJAC0009,86338,0.6,1.0,N,2022-02-19
3337,IDCJAC0009,86338,0.0,1.0,N,2022-02-20
3338,IDCJAC0009,86338,1.6,1.0,N,2022-02-21
3339,IDCJAC0009,86338,0.0,1.0,N,2022-02-22
3340,IDCJAC0009,86338,0.0,1.0,N,2022-02-23
3341,IDCJAC0009,86338,0.0,1.0,N,2022-02-24
3342,IDCJAC0009,86338,0.0,1.0,N,2022-02-25
3343,IDCJAC0009,86338,0.0,1.0,N,2022-02-26
3344,IDCJAC0009,86338,0.0,1.0,N,2022-02-27
3345,IDCJAC0009,86338,0.0,1.0,N,2022-02-28
3346,IDCJAC0009,86338,0.0,1.0,N,2022-03-01
3347,IDCJAC0009,86338,6.0,1.0,N,2022-03-02
3348,IDCJAC0009,86338,0.0,1.0,N,2022-03-03
3349,IDCJAC0009,86338,0.0,1.0,N,2022-03-04
3350,IDCJAC0009,86338,37.8,1.0,N,2022-03-05
3351,IDCJAC0009,86338,4.8,1.0,N,2022-03-06
3352,IDCJAC0009,86338,0.0,1.0,N,2022-03-07
3353,IDCJAC0009,86338,2.0,1.0,N,2022-03-08
3354,IDCJAC0009,86338,0.0,1.0,N,2022-03-09
3355,IDCJAC0009,86338,0.0,1.0,N,2022-03-10
3356,IDCJAC0009,86338,0.0,1.0,N,2022-03-11
3357,IDCJAC0009,86338,0.0,1.0,N,2022-03-12
3358,IDCJAC0009,86338,0.0,1.0,N,2022-03-13
3359,IDCJAC0009,86338,0.4,1.0,N,2022-03-14
3360,IDCJAC0009,86338,2.0,1.0,N,2022-03-15
3361,IDCJAC0009,86338,0.0,1.0,N,2022-03-16
3362,IDCJAC0009,86338,0.0,1.0,N,2022-03-17
3363,IDCJAC0009,86338,0.0,1.0,N,2022-03-18
3364,IDCJAC0009,86338,0.0,1.0,N,2022-03-19
3365,IDCJAC0009,86338,0.0,1.0,N,2022-03-20
3366,IDCJAC0009,86338,0.0,1.0,N,2022-03-21
3367,IDCJAC0009,86338,0.0,1.0,N,2022-03-22
3368,IDCJAC0009,86338,1.2,1.0,N,2022-03-23
3369,IDCJAC0009,86338,0.0,1.0,N,2022-03-24
3370,IDCJAC0009,86338,0.0,1.0,Y,2022-03-25
3371,IDCJAC0009,86338,0.0,1.0,N,2022-03-26
3372,IDCJAC0009,86338,0.0,1.0,N,2022-03-27
3373,IDCJAC0009,86338,0.0,1.0,N,2022-03-28
3374,IDCJAC0009,86338,0.0,1.0,N,2022-03-29
3375,IDCJAC0009,86338,0.0,1.0,N,2022-03-30
3376,IDCJAC0009,86338,0.0,1.0,N,2022-03-31
3377,IDCJAC0009,86338,0.0,1.0,N,2022-04-01
3378,IDCJAC0009,86338,0.4,1.0,N,2022-04-02
3379,IDCJAC0009,86338,1.2,1.0,N,2022-04-03
3380,IDCJAC0009,86338,1.8,1.0,N,2022-04-04
3381,IDCJAC0009,86338,0.0,1.0,N,2022-04-05
3382,IDCJAC0009,86338,0.0,1.0,N,2022-04-06
3383,IDCJAC0009,86338,0.0,1.0,N,2022-04-07
3384,IDCJAC0009,86338,0.0,1.0,N,2022-04-08
3385,IDCJAC0009,86338,0.0,1.0,N,2022-04-09
3386,IDCJAC0009,86338,0.0,1.0,N,2022-04-10
3387,IDCJAC0009,86338,1.4,1.0,N,2022-04-11
3388,IDCJAC0009,86338,0.0,1.0,N,2022-04-12
3389,IDCJAC0009,86338,0.0,1.0,N,2022-04-13
3390,IDCJAC0009,86338,0.0,1.0,N,2022-04-14
3391,IDCJAC0009,86338,0.0,1.0,N,2022-04-15
3392,IDCJAC0009,86338,0.0,1.0,N,2022-04-16
3393,IDCJAC0009,86338,0.0,1.0,N,2022-04-17
3394,IDCJAC0009,86338,13.4,1.0,N,2022-04-18
3395,IDCJAC0009,86338,13.2,1.0,N,2022-04-19
3396,IDCJAC0009,86338,9.0,1.0,N,2022-04-20
3397,IDCJAC0009,86338,0.6,1.0,N,2022-04-21
3398,IDCJAC0009,86338,0.2,1.0,N,2022-04-22
3399,IDCJAC0009,86338,0.0,1.0,N,2022-04-23
3400,IDCJAC0009,86338,0.0,1.0,N,2022-04-24
3401,IDCJAC0009,86338,0.0,1.0,N,2022-04-25
3402,IDCJAC0009,86338,0.0,1.0,N,2022-04-26
3403,IDCJAC0009,86338,0.0,1.0,N,2022-04-27
3404,IDCJAC0009,86338,0.0,1.0,N,2022-04-28
3405,IDCJAC0009,86338,0.0,1.0,N,2022-04-29
3406,IDCJAC0009,86338,31.4,1.0,N,2022-04-30
3407,IDCJAC0009,86338,0.0,1.0,N,2022-05-01
3408,IDCJAC0009,86338,0.0,1.0,N,2022-05-02
3409,IDCJAC0009,86338,0.0,1.0,N,2022-05-03
3410,IDCJAC0009,86338,0.0,1.0,N,2022-05-04
3411,IDCJAC0009,86338,0.4,1.0,N,2022-05-05
3412,IDCJAC0009,86338,0.0,1.0,N,2022-05-06
3413,IDCJAC0009,86338,1.6,1.0,N,2022-05-07
3414,IDCJAC0009,86338,0.0,1.0,N,2022-05-08
3415,IDCJAC0009,86338,0.6,1.0,N,2022-05-09
3416,IDCJAC0009,86338,0.2,1.0,N,2022-05-10
3417,IDCJAC0009,86338,0.0,1.0,N,2022-05-11
3418,IDCJAC0009,86338,0.0,1.0,N,2022-05-12
3419,IDCJAC0009,86338,0.8,1.0,N,2022-05-13
3420,IDCJAC0009,86338,0.0,1.0,N,2022-05-14
3421,IDCJAC0009,86338,2.0,1.0,N,2022-05-15
3422,IDCJAC0009,86338,1.4,1.0,N,2022-05-16
3423,IDCJAC0009,86338,3.2,1.0,N,2022-05-17
3424,IDCJAC0009,86338,0.0,1.0,N,2022-05-18
3425,IDCJAC0009,86338,0.2,1.0,N,2022-05-19
3426,IDCJAC0009,86338,0.0,1.0,N,2022-05-20
3427,IDCJAC0009,86338,0.0,1.0,N,2022-05-21
3428,IDCJAC0009,86338,0.0,1.0,N,2022-05-22
3429,IDCJAC0009,86338,0.0,1.0,N,2022-05-23
3430,IDCJAC0009,86338,0.0,1.0,N,2022-05-24
3431,IDCJAC0009,86338,0.0,1.0,N,2022-05-25
3432,IDCJAC0009,86338,0.2,1.0,N,2022-05-26
3433,IDCJAC0009,86338,3.4,1.0,N,2022-05-27
3434,IDCJAC0009,86338,0.0,1.0,N,2022-05-28
3435,IDCJAC0009,86338,0.0,1.0,N,2022-05-29
3436,IDCJAC0009,86338,0.0,1.0,N,2022-05-30
3437,IDCJAC0009,86338,10.2,1.0,N,2022-05-31
